smiles,Tox21_NR_ER,group
C=CCCC#N,0.0,training
Nc1cc([N+](=O)[O-])ccc1C(=O)O,1.0,training
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.0,training
C[N+](C)(C)CC(=O)O,0.0,training
CCCCC(CC)COC(=O)c1ccc(O)cc1,1.0,training
CNCc1ccc(NC(=O)c2c[nH]c3c2C(=O)CCC3)cc1,0.0,training
C[C@]12CC[C@H]3[C@@H](CC[C@@]45OC4C(=O)C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1.0,training
CCC(=O)OC/C=C/c1ccccc1,1.0,training
CCC(=O)O,0.0,training
c1cnccn1,0.0,training
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,1.0,training
Cc1cccc(C)c1,1.0,training
CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,1.0,training
CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1,1.0,training
O=CO,0.0,training
CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1.0,training
O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,1.0,training
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1.0,training
CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,1.0,training
Oc1ccc(Cl)cc1Cl,0.0,training
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,1.0,training
O=C(CS)Nc1ccccc1,1.0,training
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,1.0,training
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@H]4C=CC(C4)[C@@H]3C1(Cl)C2(Cl)Cl,0.0,training
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.0,training
Clc1ccccc1-c1nc(-c2ccncc2)no1,1.0,training
CC(C)(CC(=O)O)C(=O)O,0.0,training
CCCCOC(=O)c1ccc(O)cc1,1.0,training
CNC(=O)Oc1cccc2c1OC(C)(C)C2,1.0,training
CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,1.0,training
Brc1c2ccccc2cc2ccccc12,1.0,training
CC(=O)C(=O)CC(C)C,1.0,training
CC(=O)CCC=C(C)CCC=C(C)C,0.0,training
C=C(C)C(=O)OCCOCC,0.0,training
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)C=C4CC(=O)CCC4[C@H]3CC[C@@]21C,1.0,training
C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,1.0,training
CC(C)(C)c1ccc(O)cc1,0.0,training
C=CC(=O)OCCOCCOC(=O)C=C,1.0,training
CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CC)CC[C@@H]12,1.0,training
Nc1ccccc1C(=O)OCCc1ccccc1,1.0,training
COC(=O)CCSCCC(=O)OC,1.0,training
CCCCCCC(C=O)=Cc1ccccc1,1.0,training
COc1ccc(NC(C)=O)cc1,1.0,training
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,training
C=CCc1ccccc1OCC(O)CNC(C)C,0.0,training
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.0,training
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],0.0,training
C#N,1.0,training
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,0.0,training
C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1)CC(=O)CC4,1.0,training
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0.0,training
CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,1.0,training
CC(C)(C#N)C(C)(C)C#N,0.0,training
CC(C)(C)C(=O)c1ccccc1,1.0,training
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,1.0,training
Nc1nc(-c2ccccc2)c(Br)c(=O)[nH]1,0.0,training
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.0,training
CC(C)OC(=O)Nc1ccccc1,1.0,training
c1ccc(OCCOc2ccccc2)cc1,1.0,training
BrC(Br)C(Br)Br,0.0,training
C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)c1cccc(S(=O)(=O)O)c1,1.0,training
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,0.0,training
SCc1ccccc1,1.0,training
Cc1ccc(N)cc1C,1.0,training
CCc1cccc(C)c1,0.0,training
N=C(N)NCCCCN=C(N)N,1.0,training
O=C(CBr)c1ccccc1,1.0,training
O=C1c2ccccc2Cc2ccccc21,1.0,training
N#CCCl,1.0,training
Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,0.0,training
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,0.0,training
CC=CC=O,0.0,training
CCCCCCCCCCCCc1ccccc1O,1.0,training
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.0,training
Cn1c([N+](=O)[O-])cnc1COC(N)=O,0.0,training
O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O,0.0,training
S=c1[nH][nH]c(=S)s1,0.0,training
CCN1CN(CC)CN(CC)C1,0.0,training
CC(=O)C=Cc1ccccc1,1.0,training
CC(=O)C(=O)O,0.0,training
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.0,training
ClCC(Cl)(Cl)Cl,0.0,training
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,1.0,training
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1.0,training
Nc1nc(-c2ccccc2)cs1,1.0,training
N,0.0,training
CN(C)c1ccc(N)cc1,1.0,training
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,1.0,training
CC(C)CCCCCCN,0.0,training
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,1.0,training
CC(C)(C)NSc1nc2ccccc2s1,0.0,training
c1ccc2c(c1)[nH]c1cnccc12,0.0,training
O=C(C=Cc1ccccc1)OCCCc1ccccc1,1.0,training
CC(=O)OCc1ccccc1,0.0,training
CC1=CC(=O)CC(C)(C)C1(O)/C=C/C(C)=C\C(=O)O,0.0,training
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC,1.0,training
CCC(C)(CN(C)C)OC(=O)c1ccccc1,1.0,training
NNc1nc(-c2ccc(N)cc2)cs1,0.0,training
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1.0,training
Nc1nc(N)nc(-c2ccccc2)n1,1.0,training
CCOC(=O)c1ccc(C)cc1,0.0,training
c1ccc(N=NNc2ccccc2)cc1,1.0,training
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,1.0,training
Cn1cc(O)nc1NC(=O)Nc1cccc(Cl)c1,1.0,training
CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,1.0,training
C=CCOCC(O)CS(=O)(=O)O,0.0,training
CC(C)CCCO,0.0,training
COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,1.0,training
CCCNC(C)C(=O)Nc1ccccc1C,0.0,training
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(N)n3CCO)CS[C@H]12)c1csc(N)n1,0.0,training
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,1.0,training
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)C3=CC[C@@]21C,1.0,training
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,0.0,training
OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,0.0,training
O=C(O)CCc1nc2ccccc2[nH]1,0.0,training
O=C(O)c1ccccc1-n1cc(C(=O)O)c(=O)c2cc(Nc3c(F)cc(F)cc3Cl)c(Cl)cc21,0.0,training
CC(O)C#CC(C)O,0.0,training
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],1.0,training
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1.0,training
CN1CCOC(c2ccccc2)c2ccccc2C1,1.0,training
CCCOCC(C)O,0.0,training
C=CC[C@]1(O)CC[C@H]2C3=C(C=C[C@@]21C)C1=C(CC3)CC(=O)CC1,1.0,training
COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1.0,training
CC(C)NC(C)Cc1ccc(I)cc1,1.0,training
CCCCCCCCCCl,1.0,training
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,1.0,training
CCC(C)OC(=O)c1ccc(O)cc1,1.0,training
O=Nc1ccc(NO)cc1,0.0,training
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,1.0,training
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,1.0,training
Cn1cc[n+](C)c1,0.0,training
O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O,1.0,training
CC(C)c1ccc(CO)cc1,1.0,training
C=CCc1cc(OC)c2c(c1)OCO2,0.0,training
CC1(C)OC(=O)NC1=O,1.0,training
