smiles,Tox21_NR_ER,group
Cc1cc(C(=O)NNCc2ccccc2)no1,1.0,training
O=CCCc1ccccc1,1.0,training
O=S(=O)(Cl)c1c(Cl)cccc1Cl,0.0,training
C[N+](C)(C)CC1CO1,0.0,training
CCCCCCCCCCCCCCCC(=O)O,1.0,training
O=C(O)c1cc2ccccc2cc1O,1.0,training
CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,0.0,training
Clc1cc(Cl)c2c(c1)N=C1CCCCCN1C2,1.0,training
CC(=NO)c1ccc(OCC(=O)N2CCCCC2)cc1,1.0,training
O=C(NS(=O)(=O)/C=C/c1cccs1)c1ccc(F)cc1Br,1.0,training
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,0.0,training
C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1.0,training
CC(C)(C)c1ccc(O)c(O)c1,1.0,training
Cc1ccc(C(C)(C)O)cc1,0.0,training
CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0,training
Nc1nc2cc(Cl)ccc2o1,0.0,training
Nc1ccc(O)c(C(=O)O)c1,1.0,training
CCc1cc(C2=C(C(=O)O)N(c3ccccc3C(F)(F)F)S(=O)(=O)c3ccccc32)cc2c1OCO2,0.0,training
CC(Cl)C(=O)O,0.0,training
CCC1CCC(CCC(=O)O)C1,1.0,training
C1CCN(CN2CCCCC2)CC1,0.0,training
CCCCCCCCCCl,1.0,training
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0.0,training
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],0.0,training
CCCOC(C)=O,0.0,training
CCOP(=S)(OCC)SCSCC,1.0,training
C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,1.0,training
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1.0,training
CCCCCCc1ccc(N)cc1,1.0,training
CCCCOC(=O)c1ccc(O)cc1,1.0,training
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,0.0,training
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,1.0,training
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,1.0,training
CP(=O)(O)OCCC[Si](O)(O)O,0.0,training
Clc1ccc(C(Cl)(Cl)Cl)cc1,1.0,training
Cc1ccccc1OCC(O)CO,1.0,training
CC(C)C(OC(=O)c1ccccc1)C(C)(C)COC(=O)c1ccccc1,1.0,training
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,1.0,training
CC(C)CC(=O)CC(C)C,1.0,training
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.0,training
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,1.0,training
OCc1cccc(Oc2ccccc2)c1,1.0,training
Nc1ccc2ccccc2c1,0.0,training
O=C(CCl)c1ccccc1,1.0,training
CCCCCCCCC(CCCCCC)C(=O)O,0.0,training
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,1.0,training
ONc1ccccc1,1.0,training
CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl,0.0,training
O=S(=O)(O)c1cc(Cl)c(Cl)cc1Cl,0.0,training
O=P(O)(O)OC[C@H]1O[C@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,1.0,training
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0,training
CC(C)CO,0.0,training
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,1.0,training
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,1.0,training
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(C)=O)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O,1.0,training
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@H]2O,1.0,training
CC(C)(O)CCCC1=CCC(C=O)CC1,1.0,training
Cc1c[nH]c(=S)[nH]c1=O,0.0,training
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.0,training
CCOc1cccc(N)c1,0.0,training
CCCCCCCCCBr,0.0,training
CCCOc1ccc2nc(NC(=O)OC)sc2c1,1.0,training
COc1cc(C[C@@H]2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,0.0,training
CC(=O)Nc1ccc(OCCOCCOc2ccc(NC(C)=O)cc2)cc1,0.0,training
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0.0,training
COc1ccc(OC)c(C(O)C(C)N)c1,0.0,training
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,1.0,training
O=C(O)COc1ccc(Cl)cc1,0.0,training
CC(C)COC(=O)c1ccc(N)cc1,1.0,training
COCCOCCOCCOC,0.0,training
CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1,1.0,training
CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCCC1,1.0,training
CC(C)(C)c1ccc(C=O)cc1,0.0,training
c1ccc([C@H]2CN3CCSC3=N2)cc1,1.0,training
CC(C)=CCl,1.0,training
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.0,training
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,1.0,training
CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,1.0,training
[O-][N+](=Nc1ccccc1)c1ccccc1,1.0,training
CCCCCCOC(=O)CC,0.0,training
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,1.0,training
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC(O)CO,0.0,training
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,training
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,0.0,training
